Hon Anthony Albanese: Member for Grayndler, New South Wales
Hon Dr Anne Aly: Member for Cowan, Western Australia
Dr Michelle Ananda-Rajah: Member for Higgins, Victoria
Hon Karen Andrews: Member for McPherson, Queensland
Mrs Bridget Archer: Member for Bass, Tasmania
Mr Adam Bandt: Member for Melbourne, Victoria
Mr Stephen Bates: Member for Brisbane, Queensland
Ms Angie Bell: Member for Moncrieff, Queensland
Mr Sam Birrell: Member for Nicholls, Victoria
Hon Chris Bowen: Member for McMahon, New South Wales
Mr Colin Boyce: Member for Flynn, Queensland
Mr Russell Broadbent: Member for Monash, Victoria
Hon Scott Buchholz: Member for Wright, Queensland
Hon Tony Burke: Member for Watson, New South Wales
Mr Matt Burnell: Member for Spence, South Australia
Hon Linda Burney: Member for Barton, New South Wales
Mr Josh Burns: Member for Macnamara, Victoria
Hon Mark Butler: Member for Hindmarsh, South Australia
Ms Alison Byrnes: Member for Cunningham, New South Wales
Hon Dr Jim Chalmers: Member for Rankin, Queensland
Mr Max Chandler-Mather: Member for Griffith, Queensland
Ms Kate Chaney: Member for Curtin, Western Australia
Dr Andrew Charlton: Member for Parramatta, New South Wales
Hon Darren Chester: Member for Gippsland, Victoria
Ms Lisa Chesters: Member for Bendigo, Victoria
Hon Jason Clare: Member for Blaxland, New South Wales
Ms Sharon Claydon: Member for Newcastle, New South Wales
Ms Libby Coker: Member for Corangamite, Victoria
Hon David Coleman: Member for Banks, New South Wales
Hon Julie Collins: Member for Franklin, Tasmania
Mr Pat Conaghan: Member for Cowper, New South Wales
Hon Pat Conroy: Member for Shortland, New South Wales
Hon Mark Coulton: Member for Parkes, New South Wales
Ms Zoe Daniel: Member for Goldstein, Victoria
Hon Milton Dick: Member for Oxley, Queensland
Ms Mary Doyle: Member for Aston, Victoria
Hon Mark Dreyfus KC: Member for Isaacs, Victoria
Hon Peter Dutton: Member for Dickson, Queensland
Hon Justine Elliot: Member for Richmond, New South Wales
Hon Warren Entsch: Member for Leichhardt, Queensland
Ms Cassandra Fernando: Member for Holt, Victoria
Hon Paul Fletcher: Member for Bradfield, New South Wales
Dr Mike Freelander: Member for Macarthur, New South Wales
Dr Carina Garland: Member for Chisholm, Victoria
Hon Andrew Gee: Member for Calare, New South Wales
Mr Steve Georganas: Member for Adelaide, South Australia
Hon Andrew Giles: Member for Scullin, Victoria
Hon Dr David Gillespie: Member for Lyne, New South Wales
Mr Ian Goodenough: Member for Moore, Western Australia
Hon Patrick Gorman: Member for Perth, Western Australia
Mr Luke Gosling OAM: Member for Solomon, Northern Territory
Dr Helen Haines: Member for Indi, Victoria
Mr Garth Hamilton: Member for Groom, Queensland
Hon Andrew Hastie: Member for Canning, Western Australia
Hon Alex Hawke: Member for Mitchell, New South Wales
Mr Julian Hill: Member for Bruce, Victoria
Hon Kevin Hogan: Member for Page, New South Wales
Hon Luke Howarth: Member for Petrie, Queensland
Hon Ed Husic: Member for Chifley, New South Wales
Hon Stephen Jones: Member for Whitlam, New South Wales
Hon Barnaby Joyce: Member for New England, New South Wales
Hon Bob Katter: Member for Kennedy, Queensland
Hon Ged Kearney: Member for Cooper, Victoria
Hon Matt Keogh: Member for Burt, Western Australia
Mr Peter Khalil: Member for Wills, Victoria
Hon Catherine King: Member for Ballarat, Victoria
Hon Madeleine King: Member for Brand, Western Australia
Hon Michelle Landry: Member for Capricornia, Queensland
Ms Tania Lawrence: Member for Hasluck, Western Australia
Mr Jerome Laxale: Member for Bennelong, New South Wales
Ms Dai Le: Member for Fowler, New South Wales
Mr Julian Leeser: Member for Berowra, New South Wales
Hon Dr Andrew Leigh: Member for Fenner, Australian Capital Territory
Hon Sussan Ley: Member for Farrer, New South Wales
Mr Sam Lim: Member for Tangney, Western Australia
Hon David Littleproud: Member for Maranoa, Queensland
Hon Nola Marino: Member for Forrest, Western Australia
Hon Richard Marles: Member for Corio, Victoria
Ms Zaneta Mascarenhas: Member for Swan, Western Australia
Hon Kristy McBain: Member for Eden-Monaro, New South Wales
Hon Emma McBride: Member for Dobell, New South Wales
Hon Michael McCormack: Member for Riverina, New South Wales
Mrs Melissa McIntosh: Member for Lindsay, New South Wales
Ms Zoe McKenzie: Member for Flinders, Victoria
Ms Louise Miller-Frost: Member for Boothby, South Australia
Mr Brian Mitchell: Member for Lyons, Tasmania
Mr Rob Mitchell: Member for McEwen, Victoria
Hon Scott Morrison: Member for Cook, New South Wales
Dr Daniel Mulino: Member for Fraser, Victoria
Ms Peta Murphy: Member for Dunkley, Victoria
Hon Shayne Neumann: Member for Blair, Queensland
Mr Ted O'Brien: Member for Fairfax, Queensland
Mr Llew O'Brien: Member for Wide Bay, Queensland
Hon Brendan O'Connor: Member for Gorton, Victoria
Hon Clare O'Neil: Member for Hotham, Victoria
Mr Tony Pasin: Member for Barker, South Australia
Ms Alicia Payne: Member for Canberra, Australian Capital Territory
Mr Gavin Pearce: Member for Braddon, Tasmania
Mr Graham Perrett: Member for Moreton, Queensland
Mrs Fiona Phillips: Member for Gilmore, New South Wales
Mr Henry Pike: Member for Bowman, Queensland
Hon Keith Pitt: Member for Hinkler, Queensland
Hon Tanya Plibersek: Member for Sydney, New South Wales
Hon Melissa Price: Member for Durack, Western Australia
Mr Sam Rae: Member for Hawke, Victoria
Mr Rowan Ramsey: Member for Grey, South Australia
Dr Gordon Reid: Member for Robertson, New South Wales
Mr Dan Repacholi: Member for Hunter, New South Wales
Hon Amanda Rishworth: Member for Kingston, South Australia
Ms Tracey Roberts: Member for Pearce, Western Australia
Hon Michelle Rowland: Member for Greenway, New South Wales
Ms Joanne Ryan: Member for Lalor, Victoria
Dr Monique Ryan: Member for Kooyong, Victoria
Dr Sophie Scamps: Member for Mackellar, New South Wales
Ms Marion Scrymgour: Member for Lingiari, Northern Territory
Ms Rebekha Sharkie: Member for Mayo, South Australia
Hon Bill Shorten: Member for Maribyrnong, Victoria
Ms Sally Sitou: Member for Reid, New South Wales
Mr David Smith: Member for Bean, Australian Capital Territory
Ms Allegra Spender: Member for Wentworth, New South Wales
Ms Anne Stanley: Member for Werriwa, New South Wales
Ms Zali Steggall OAM: Member for Warringah, New South Wales
Mr James Stevens: Member for Sturt, South Australia
