ACCT1501	Accounting & Financial Mgt 1A
ACCT1511	Accounting & Financial Mgt 1B
ACCT2101	Industry Placement 1
ACCT2507	Intro to Accounting Research
ACCT2511	Financial Acct Fundamentals
ACCT2522	Management Acc for Decision
ACCT2532	Management Accounting (Hons)
ACCT2542	Corporate Financial Reporting
ACCT2552	Corporate Financial Rep (Hons)
ACCT2672	Accounting analytics
ACCT3202	Industry Placement 2
ACCT3303	Industry Placement 3
ACCT3563	Issues in Financial Reporting
ACCT3573	Issues in Financial Rep (Hons)
ACCT3583	Strategic Value Management
ACCT3585	E-Business: Strategy & Process
ACCT3593	Management Accounting 2 (Hon)
ACCT3601	Global Financial Reporting &
ACCT3610	Business Analysis & Valuation
ACCT3625	ESG Reporting
ACCT3672	Accounting analytics
ACCT3708	Auditing & Assurance Services
ACCT3718	Auditing &  Assurance (Hons)
ACCT3995	Fraud Examination Fundamentals
ACCT4794	Thesis (Accounting)
ACCT4795	Thesis (Accounting/Finance)
ACCT4796	Thesis (Accounting) A
ACCT4797	Thesis (Accounting) B
ACCT4798	Thesis (Accounting) C
ACCT4802	Advanced Studies in Fin Acc
ACCT4803	Regulation of Accounting
ACCT4804	Development of Acc Thought
ACCT4805	Global Accounting Issues
ACCT4809	Current Develop in Audit Res
ACCT4818	Advanced Assurance & Auditing
ACCT4820	Management Accounting Issues
ACCT4832	Public Sector Accounting & Fin
ACCT4851	Current Develop in Acc Res Fin
ACCT4852	Current Develop Acct Res Mana
ACCT4855	Design of Cost Management Sys
ACCT4856	Management Planning & Control
ACCT4867	Special Topic in Accounting
ACCT4897	Seminar in Research Methodolog
ACCT4898	Project Seminar
ACCT5000	Research Accounting F/T
ACCT5001	Research Accounting P/T
ACCT5901	Accounting: A User Perspective
ACCT5902	Fin Rep:Cont Issues & Sig Dev
ACCT5903	Regulation of Accounting
ACCT5904	Development of Acc Thought
ACCT5905	International Financial Report
ACCT5906	Financial Literacy Business
ACCT5907	Int'l Fin Statement Analysis
ACCT5908	Auditing and Assurance Ser.
ACCT5909	Current Developments Auditing
ACCT5910	Business Analysis & Valuation
ACCT5911	International Auditing & Assur
ACCT5912	Accounting: A User Perspective
ACCT5914	Enterprise Strategy for Mngt
ACCT5915	Individual Judgement & Choice
ACCT5916	Acc'ability, Acc'g & Auditing
ACCT5917	Value Creation from the Office
ACCT5918	Advanced Assurance & Auditing
ACCT5919	Business Risk Management
ACCT5920	Managing Intangible Resources
ACCT5921	Business Performance Managemen
ACCT5922	E-Business: Strategy & Process
ACCT5925	ESG Reporting
ACCT5930	Financial Accounting
ACCT5931	Sustainable Management Account
ACCT5932	Public Sector Accounting & Fin
ACCT5933	Corporate Financial Accounting
ACCT5934	Issues in Public Sector Financ
ACCT5940	Accounting and Financial Mgt A
ACCT5941	Accounting and Financial Mgt B
ACCT5942	Corporate Accounting & Regulat
ACCT5943	Advanced Financial Reporting
ACCT5949	Managing Agile Organisations
ACCT5951	Current Develop  Account Res F
ACCT5952	Current Develop  Account Res M
ACCT5955	Management Control Systems
ACCT5956	Management Planning & Control
ACCT5961	Reporting for Climate Change
ACCT5967	Special Topic in Accounting
ACCT5970	Accounting Concepts & Financia
ACCT5971	Accounting Concept Fin (Inter)
ACCT5972	Accounting analytics
ACCT5980	Value-Based Management Global
ACCT5981	Strategic Resource Management
ACCT5982	Managing Agile Organisations
ACCT5983	Managing Strategic Change
ACCT5984	Managing Intangible Resources
ACCT5985	The Innovative Organisation
ACCT5988	Innovative Organisations
ACCT5994	Thesis Accounting (Full-time)
ACCT5995	Fraud Examination Fundamentals
ACCT5996	Management Accounting and Busi
ACCT5997	Seminar in Research Methodolgy
ACCT5998	Project Seminar
ACCT5999	Project Report
ACCT6001	P/T Masters (R) Thesis Acc
ACCT7908	International Auditing & Assur
ACCT7930	International Financial Accoun
ACCT7931	Strategic Financial & Resource
ACCT7970	Accounting Concepts Financial
ACCT7996	Business Processes: Analysis..
ACCT8691	Industrial Training 1
ACCT8692	Industrial Training 2
ACCT8693	Industrial Training 3
ACCT8694	Business Internship A
ACCT8695	Business Internship C
ACCT8908	International Auditing & Assur
ACCT8930	International Financial Accoun
ACCT8931	Strategic Financial & Resource
ACCT8970	Accounting Concepts & Financia
ACCT8996	Business Processes: Analysis..
ACCT9001	Introduction to Accounting A
ACCT9002	Introduction to Accounting B
ACCT9003	Introduction to Account Princi
ACCT9062	Accounting for Engineers
ACHM0500	Chemistry and Society
ACHM1101	Chemistry 1A
ACHM1102	Chemistry 1B
ACHM1401	Intro to Eng Mats for Elec
ACHM1402	Engineering Materials for Aero
ACHM1403	Intro to Engineering Mats
ACHM1501	Engineering Chemistry 1A
ACHM1502	Engineering Chemistry 1B
ACHM1503	Intro to Eng Materials
ACHM1504	Intro to Eng Mat for Elec Eng
ACHM1600	Chemistry 1
ACHM1701	Engineering Mat for Aero Eng
ACHM1800	Chemistry 1E
ACHM1801	Chemistry 1E
ACHM2001	Analytical Chemistry
ACHM2002	Inorganic Chemistry
ACHM2003	Organic Chemistry
ACHM2004	Physical Chemistry
ACHM2005	Atmospheric Chemistry
ACHM2006	Dealing w/ Dangerous Substance
ACHM2007	Energy in Chemical Contexts
ACHM2008	Novel Ideas & Developments in
ACHM2009	Selected Modern Materials
ACHM2010	Marine Chemistry 2
ACHM2101	Inorganic Chemistry 2
ACHM2102	Organic Chemistry 2
ACHM2103	Physical Chemistry 2
ACHM2106	Analytical Chemistry
ACHM2107	Atmospheric Chemistry
ACHM2108	Dealing with Dangerous Subs
ACHM2109	Energy in Chemical Contexts
ACHM2111	Modern Materials
ACHM2112	Environmental Chemistry
ACHM2113	Chem Instrumentation & Devices
ACHM2114	Marine Chemistry 2
ACHM2601	Chemistry 2A
ACHM2602	Chemistry 2B
ACHM3001	Biological Chemistry 3
ACHM3002	Aspects Env'l Water Chemistry
ACHM3003	Fuels and Explosives
ACHM3004	Polymeric Materials
ACHM3005	Marine Chemistry 3
ACHM3101	Inorganic Chemistry 3
ACHM3102	Organic Chemistry 3
ACHM3103	Physical Chemistry 3
ACHM3106	Biological Chemistry
ACHM3107	Env Chem for Defence Force
ACHM3108	Explosives
ACHM3109	Polymeric Materials
ACHM3110	Project
ACHM3112	Inorganic Reaction Mechanisms
ACHM3601	Chemistry 3A
ACHM3602	Chemistry 3B
ACHM3603	Chemistry 3C
ACHM4191	Chemistry 4 (Honours) F/T
ACHM4690	Chemistry 4 (Honours) F/T
ACHM4692	Chemistry 4 (Comb Hon) F/T
ACHM9000	Chemistry Research Full-Time
ACHM9001	Chemistry Research Part-Time
ACIV1501	Civil Engineering Practice
ACIV2501	Civil Eng Materials 1A
ACIV2502	Civil Eng Materials 1B
ACIV2503	Eng Computational Meth 1A
ACIV2504	Eng Computational Meth 1B
ACIV2505	Geomatic Engineering 1A
ACIV2506	Geomatic Engineering 1B
ACIV2507	Geomechanics 1A
ACIV2508	Structural Analysis 1A
ACIV2509	Structural Analysis 1B
ACIV2510	Eng Construction & Design
ACIV2511	Fluid Mechanics A
ACIV2512	Fluid Mechanics B
ACIV2513	Geomechanics 1B
ACIV2514	Basic Fluid Mechanics
ACIV2515	Engineering Surveying 1
ACIV2516	Geotechnical Engineering 1
ACIV2517	Environmental Eng Fundamentals
ACIV2518	Eng Computational Methods 1
ACIV2519	Geometric Design of Trans Sys
ACIV3001	Project Management 1A
ACIV3002	Project Management 1B
ACIV3501	Civil Engineering Materials A
ACIV3502	Civil Engineering Materials B
ACIV3503	Eng Computational Methods 2A
ACIV3504	Eng Computational Methods 2B
ACIV3505	Geomatic Engineering 2
ACIV3506	Geomechanics 2A
